User_ID,Date,Tasks_Completed,Mood,Energy_Level,Breaks_Taken,Coffee_Intake,Hours_Worked,Focus_Score,Distractions
149,2026-08-27,4,Neutral,99,4,1,7,12,1
150,2026-08-28,5,Neutral,33,4,4,10,93,8
151,2026-08-29,3,Neutral,51,4,5,8,86,9
152,2026-08-30,10,Neutral,94,5,4,4,50,1
153,2026-08-31,9,Happy,9,4,5,11,55,4
154,2026-09-01,6,Stressed,18,2,0,2,82,8
155,2026-09-02,8,Neutral,57,3,4,4,61,8
156,2026-09-03,6,Sad,95,4,0,4,31,7
157,2026-09-04,0,Stressed,0,3,3,4,29,0
158,2026-09-05,0,Stressed,68,2,1,2,28,0
159,2026-09-06,8,Neutral,3,2,5,10,48,8
160,2026-09-07,10,Happy,15,3,1,9,44,10
